page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
26,128,Teddy,Indonesia,Couple,Superior Room Queen,Stayed 1 night in January 2022,10.0,Exceptional,Exceptional,"The deluxe room is spacious , well maintained and clean. Hotel located near the city grand mosque and where many local restaurants and food stalls are in walking distance.","February 02, 2022"
26,129,Sutarno,Indonesia,Family with young children,Superior Room Twin,Stayed 2 nights in December 2021,8.8,Excellent,Friendly Staff,"I was impressed with the friendliness of the staff. Once I arrived in the room and found that the kids requested a higher floor, they managed so instantly. There was a minor defect by the window edge that seemed to be leaking marked by water dropped but not a big deal since they took immediate action once the information was received.","January 27, 2022"
26,130,Fas,Indonesia,Family with young children,Superior Room Queen,Stayed 1 night in January 2022,8.8,Excellent,Clean and Good staff hospitality,Room is clean. Staffs are kind. Swimming pool clean and there's a record of water PH and Ch. Food is also good.,"January 09, 2022"
27,131,Milxon,Indonesia,Couple,Deluxe Room Queen,Stayed 1 night in November 2021,8.0,Excellent,Nice clean hotel,"Spent one night here, the room was considerably ok, breakfast was good with decent choices","December 05, 2021"
27,132,Kuntje,Indonesia,Couple,Superior Room Queen,Stayed 2 nights in September 2021,10.0,Exceptional,Santika Tasikmalaya,Selalu dan selalu ke Tasik ya di Santika nginep nya all services very good,"October 03, 2021"
27,133,Feraldi,Indonesia,Business traveler,Superior Room Queen,Stayed 1 night in August 2019,10.0,Exceptional,best location,One of the best hotel at Tasikmalaya,"May 21, 2021"
27,134,Feraldi,Indonesia,Solo traveler,Superior Room Twin,Stayed 1 night in October 2019,10.0,Exceptional,Best Hotel at Tasikmalaya,One of the best hotel at Tasikmalaya,"May 21, 2021"
27,135,handoyo,Indonesia,Couple,Superior Room Twin,Stayed 1 night in December 2020,9.2,Exceptional,Hotel dengan standard protokol cofid,"Sarapannya menggunakan standard protokol cofid, very good","April 15, 2021"
28,136,Adam,Indonesia,Family with young children,Superior Room,Stayed 1 night in March 2021,10.0,Exceptional,Well located hotel,good location,"March 28, 2021"
28,137,Adam,Indonesia,Family with young children,Superior Room,Stayed 1 night in March 2021,10.0,Exceptional,Hotel with good location,"Very close to every culinary in the city, friendly staff and large room","March 28, 2021"
28,138,Picko,Indonesia,Family with teens,,Stayed 1 night in February 2021,7.2,Very good,Nice place to sleep,"Nice room,nice staff,and nice food","March 02, 2021"
28,139,Irwan,Indonesia,Business traveler,Deluxe Room Twin,Stayed 1 night in February 2021,8.0,Excellent,Value for money,"Great location, helpfull staff, cleanliness","February 15, 2021"
