page,review_index,nama,negara,tipe_traveler,tipe_kamar,durasi_menginap,rating,rating_text,judul_ulasan,teks_ulasan,tanggal
40,209,rusi,Indonesia,Pasangan,Kamar Superior Twin,Menginap 1 malam pada Januari 2020,"6,0",,Nice hotel,"Lumayan, untuk rate harga dan fasiltiasnya",
40,210,nurul,Indonesia,Keluarga dengan anak dewasa,Kamar Queen Superior,Menginap 2 malam pada Januari 2020,"8,0",Luar biasa,Cukup menyenangkan,Kl cari makan mudah.. ga enaknya lift turun ke lt.dasar/jln raya hy sewaktu2 on. Kl ga ada kndaraan terpaksa jln kaki menuju lt bawah/jln raya. Krn kmrn mobil kbnjiran jd ga bw kndaraan. Jd susah akses k jln raya kl ga ada kndaraan,
41,211,Nani,Indonesia,Wisatawan bisnis,Kamar Superior Twin,Menginap 1 malam pada November 2019,"10,0",Spektakuler,"Lokasi strategis, mau cari makan jg gampang",Dibawahnya mall,
41,212,Habib,Indonesia,Keluarga dengan anak kecil,Kamar Queen Deluxe,Menginap 3 malam pada November 2019,"4,4",,"1. 3 mlm menginap disini anak saya mau pesen spagetti bolognaise,tp selama 3 hari bolognaissenya tdk","Bolognaisse saucenya tdk ada juga. 2. BF time tdk ada offer coffe or tea,pdahal ada di cupnya dimeja. 3. Mesin toaster,sampai 3x BF tsk kwluar sensiri klo sdh mateng.jd banyak jg tamu2 yg gosong. 4. Peran level supervisor atau manager di resto tdk ada,sehingga service ke tamu2,terutama saat BF tdk maksimal. Hanya fokus kepada nanyain no.kamar tamu. 5. Lift akses dr mall ke hotel kurang safety org bebas masuk hotel. 6. Hotel berada diatas Mall,tdk diinfo di ota.",
41,213,M,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 1 malam pada September 2019,"7,2",Sangat baik,Hotel satu gedung dengan mall,"perbaikan kedepannya adalah AC tolong diperbaiki karena kurang dingin, tempat sabun di kamar mandi sudah karatan dan mau copot jd terkesan tidak terawat",
41,214,Annisaa,Indonesia,Keluarga dengan anak kecil,Kamar Superior Twin,Menginap 1 malam pada September 2019,"8,0",Luar biasa,Strategis namun ada yg mengecewakan,"Lokasi strategis krena dekat dgn mall, sya dpat kamar yg agk mengecewakan. Rak handuk d kamar mndinya rusak, bnyak yg kropos d dindingnya, staff d resto ada yg kurang ramah. Makanannya kurang variatif, selebihnya ok!",
41,215,adi,Indonesia,Wisatawan bisnis,Kamar Superior Twin,Menginap 1 malam pada Agustus 2019,"6,4",Bagus,Akses Hotel,masih bingung akses masuk ke hotel nya.... dan kalau mall tutup bagaimana ya...,
42,216,Fransiska,Indonesia,Pasangan,Kamar Superior Twin,Menginap 2 malam pada Agustus 2019,"4,0",,Bad Hotel!,"- Resepsionis pria sangat tidak ramah - Akses card kamar hanya dapat satu, hmmm minta satu lagi harus deposit? Baru pertama kali nemu hotel begini. - WIFI tdk bisa digunakan OTP tdk diterima baik sms ataupun tlp, sinyal provider merah pun tak bersahabat. - Mati lampu genset berfungsinya lama sekali ada kali setengah jam. Dan kudu turun tangga donk ke parkiran dari lantai 5. Mendadak kurus ye kaaaannn - Nginep dua malam, tapi sabun dan shampoo tdk diganti! Omg biarpun dipake cuma buat cuci kaki, tapi please lah di ganti kan saya bayar utk dua - Meskipun sarapan banyak menu nya dan rasanya lumayan enak, tapi kalau piringnya kotor dan jorok ya percumaaaa lah yaaa - Air kamar mandi menggenang dan ga masuk donk, hadeehhh - AC rasa hotel bintang 2, masih manual boss Cape aaahhh nulisnya, terlalu banyak yg bikin ngelus dada. Semoga ada perbaikan dan perubahan!",
42,217,IR.,Indonesia,Wisatawan bisnis,Kamar Queen Superior,Menginap 1 malam pada September 2018,"4,4",,Security sangat tidak sopan,"Security sangat tidak sopan, kasar",
42,218,Supartyo,Indonesia,Pasangan,Kamar Superior Twin,Menginap 1 malam pada Desember 2018,"10,0",Spektakuler,Sangat membantu saat saya butuh room dgn Agoda,Sangat berkesan karena bisa cepat pesan room dan murah melalui Agoda,
42,219,Dona,Indonesia,Keluarga dengan anak kecil,Kamar Queen Superior,Menginap 2 malam pada November 2018,"9,2",Spektakuler,Spektakuler,"hotel yg nyaman,fasilitas leengkap, dan petugas2 yang sangat ramah... next mudah2an bisa nginep di sini lagi",
