ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review
REV-000128,Agoda,Hotel Santika Bandung,2024-06-26,"I'm travelling with kids and elderly. Request for room not too far from lift but i can't get it. I got the room at the back. And the shower in my room also broken. this is my first bad experience stay here, prevoliously I really enjoy to stay here, becaus it greqt locati9n in city center. Near the Dept store, and many culinary."
REV-000129,Agoda,Hotel Santika Bandung,2024-06-25,"The blanket was not so clean. It made my sister felt itchy. Location wise, it is just the opposite of Riau Junction so it's quite convenient."
REV-000130,Agoda,Hotel Santika Bandung,2024-06-18,"I reserved an executive room with a generously sized space and a large bed, perfect for accommodating two toddlers. The hotel's location is extremely convenient, situated behind Bandung Indah Plaza (BIP) Dago and across from the Riau Junction supermarket, making it easy to get around. The parking area is very spacious, and the breakfast offerings are both extensive and delicious. The staff members are friendly, and the stay was quite pleasant overall."
REV-000131,Agoda,Hotel Santika Bandung,2024-06-17,Perlu banyak peremajaan
REV-000132,Agoda,Hotel Santika Bandung,2024-06-01,Near bandung indah plaza and riau junction. Have a small pool. Room a bit run down but clean. Breakfast spread quite good
REV-000133,Agoda,Hotel Santika Bandung,2024-06-01,"(+) Hotel sudah terlihat tua namun terkesan vintage karena fasilitas yang masih mumpuni, kebersihan baik, staff yang sangat ramah & helpful, pilihan breakfast yang cukup beragam & enak, lokasi pun sangat trategis namun tidak bising. High value for money, menurut saya rate murah namun bisa dapat fasilitas & pelayanan yang cukup mewah. (-) timing menginap kurang pas, karena lift sedang rusak & diperbaiki. jadi harus naik tangga darurat dari basement. Definitely will come back when I visit Bandung."
REV-000134,Agoda,Hotel Santika Bandung,2024-05-30,"Love it here. Old building, yes..but its well kept clean n tidy. Staff are excellent. Malls are nearby. Mosque just opposite the hotel. Breakfast spread are good enough for us. For sure will stay here again if we come to Bandung again. Thank you."
REV-000135,Agoda,Hotel Santika Bandung,2024-05-25,"Nice hotel, all is good"
REV-000136,Agoda,Hotel Santika Bandung,2024-05-20,Good at all
REV-000137,Agoda,Hotel Santika Bandung,2024-05-20,Willing to stay again when I travel to Bandung
REV-000138,Agoda,Hotel Santika Bandung,2024-05-18,"Book melalui agoda, dikategorikan hotel bintang 4 di agoda namun menurut saya itu misleading. Kamar memang luas namun krg nyaman utk istirahat, kasur & bantal krg empuk, suara org di hallway terdengar sgt jelas. Breakfast bukan standar bintang 4. Handuk sudah usang berwarna keabuan. Overall buat keluarga saya tdk sesuai ekspektasi."
REV-000139,Agoda,Hotel Santika Bandung,2024-05-17,"Needs stronger Wifi that cuts out many times and weak signal, need small gym,"
REV-000140,Agoda,Hotel Santika Bandung,2024-05-16,"The room was big, i booked for King Size but the reception ask me they have only twins, He was supperb and humble very good explanation and detailed, I received my room on 2PM, it was great, rarely i have room when i visit Bandung on 4 - 5 PM even Hotel International, but in here i have spacious room on time, Thank you to Pak Wandi. The breakfast not make sense with the price, variaty of food so fair, the fruit not fresh and the local selection just one menu. The Fried Rice was good and the restaurant waiter quite helpfull. Recomendation stay for 2-3 days visited Bandung."
REV-000141,Agoda,Hotel Santika Bandung,2024-05-16,"Location wise is superb, very close to everywhere. Room is spacious, breakfast so so, swimming pool so so"
REV-000142,Agoda,Hotel Santika Bandung,2024-05-16,"Location wise is superb, close to everywhere. Room is spacious, breakfast so so, swimming pool so so"
REV-000143,Agoda,Hotel Santika Bandung,2024-05-14,Location is nice. Stafs very helpful. Very clean and rooms are spacious and clean even lil bit old.
REV-000144,Agoda,Hotel Santika Bandung,2024-05-12,"Puassss sekali menginap disini 2 malam, sarapan enak, kamar bagus bersih, parkir luas nyaman.. akan kembali kesini kalau ke Bandung"
REV-000145,Agoda,Hotel Santika Bandung,2024-05-11,"Book via Agoda, menginap 1 malam, di Agoda dikategorikan sebagai hotel bintang 4. Mohon maaf menurut saya tidak masuk kategori hotel bintang 4. Kamar memang luas namun sayang building kurang terawat. Bangunan tua, handuk putih sudah berwarna keabuan & jahitan pinggir handuk sudah ada yg lepas. Penerangan kurang. Kamar kurang kedap krn suara lalu lalang & teriakan ank2 di lorong kamar terdengar jelas. Proses cek in & cek out cukup cepat. Breakfast biasa namun omellete hari itu dibuat sesuai ekspektasi."
